brand,title,price,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,description,collection_name,collection_url,url,photos_path,s3_path,product_dimensions
Nike,AIR MAX TW WHITE,"₹ 10,497.00",Nike India Pvt. Ltd.,INDONESIA,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DQ3984-101,"So you're in love with the classic look of the '90s, but you got a thing for today's fast-paced culture. Meet the Air Max TW. Inspired by the treasured franchise that brought Nike Air cushioning to the world and laid the foundation for the track-to-street aesthetic, its eye-catching design delivers a 1-2 punch of comfort and fashion. Ready to highlight any ‘fit, its lightweight upper pairs angular and organic lines to create an entrancing haptic effect. The contrasting colorways make it easy to style. And if you’re ready for the next step, the 5 windows underfoot deliver a modern edge to visible Air cushioning.  Throwback '90s style is represented in the Air unit and the radiating lines on the upper. Breathable engineered upper adds a modern look that's also durable. Originally designed for performance running, this fashion-forward take on Air cushioning delivers time-tested comfort.  Details  New logo on tongue Rubber outsole",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/air-max-tw-white,data/superkicks/men-classics-sneakers/photos/Nike/AIR MAX TW WHITE,,
Clarks Originals,WALLABEE CUP DARK OLIVE PRINT,"₹ 13,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26168523,"Our retro-inspired chunky cup profile makes the perfect backdrop for our all-new paisley print. In dark olive suede, Wallabee Cup’s subtle design details make this one of our most elegant executions yet – from its tonal fob and soft laces to intricate binding.  Details   Premium dark olive suede/hairy suede upper Flexible moccasin construction Natural rubber crepe sole Includes additional lace for versatile wear Finished with signature Clarks Original fob",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/wallabee-cup-dark-olive-print,data/superkicks/men-classics-sneakers/photos/Clarks Originals/WALLABEE CUP DARK OLIVE PRINT,,
Clarks Originals,WALLABEE CUP BOOT,"₹ 13,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26167977,"Introducing your next new Wallabee Boot. Inspired by Japanese and American vintage style, subtle paisley prints are the perfect complement to retro-feel dusky green suede. Complete with a flexible construction to support every step, its natural crepe sole and signature fobs nod to our heritage profile.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/wallabee-cup-boot,data/superkicks/men-classics-sneakers/photos/Clarks Originals/WALLABEE CUP BOOT,,
Adidas Originals,CAMPUS 80s CHESHIRE CAT PINK,"₹ 8,799.00",adidas India Marketing Private Ltd.,China,adidas India Marketing Private Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GX2026,"A collaboration with LA-based lifestyle label Sporty & Rich, these shoes pay homage to an adidas icon by hacking the classic Campus 80s aesthetic without neglecting its core identity. The vintage-inspired design is crafted with a premium, soft nubuck upper and lined with smooth satin. Sporty & Rich and adidas logos in different executions of print and metallic-gold finishes can be found throughout. A Sporty & Rich Wellness Club key chain with pearl straps completes the premium look. Everything comes in special archive-inspired packaging.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/campus-80s-cheshire-cat-pink,data/superkicks/men-classics-sneakers/photos/Adidas Originals/CAMPUS 80s CHESHIRE CAT PINK,,
Reebok,LX8500 COLD GREY,"₹ 7,199.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GX8944,"ARCHIVE-INSPIRED TRAINERS MADE OF HIGH-QUALITY MATERIALS These men's Reebok shoes dropped in the '80s and have a retro-style look that just won't quit. Using handcrafted British leather from the 200-year-old UK tannery Charles F. Stead, these LX8500 trainers couldn't be more authentically deluxe. Keep your look old-school with a signature heel clip.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/lx8500-cold-grey,data/superkicks/men-classics-sneakers/photos/Reebok/LX8500 COLD GREY,,
Reebok,EAMES CLASSIC LEATHER LIGHT SAGE,"₹ 9,599.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ5858,OLD-SCHOOL REEBOK SHOES DESIGNED IN COLLABORATION WITH EAMES Mid-century aesthetic meets retro '80s Reebok style. The legendary designers who started Eames inspired the look of these Classic Leather shoes. The clean trainers get a bump up with an Eames logo and signature sockliner. A supple leather upper adds a luxe touch. Details  Leather upper Lace closure Textile lining Rubber outsole Imported,men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/eames-classic-leather-light-sage,data/superkicks/men-classics-sneakers/photos/Reebok/EAMES CLASSIC LEATHER LIGHT SAGE,,
Reebok,EAMES CLASSIC LEATHER ASTRO PINK,"₹ 9,599.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,FZ5860,OLD-SCHOOL REEBOK SHOES DESIGNED IN COLLABORATION WITH EAMES Mid-century aesthetic meets retro '80s Reebok style. The legendary designers who started Eames inspired the look of these Classic Leather shoes. The clean trainers get a bump up with an Eames logo and signature sockliner. A supple leather upper adds a luxe touch.,men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/eames-classic-leather-astro-pink,data/superkicks/men-classics-sneakers/photos/Reebok/EAMES CLASSIC LEATHER ASTRO PINK,,
Reebok,ROYAL TECHQUE VINTAGE GREEN,"₹ 6,399.00",Reebok India Pvt. Ltd.,China,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,HQ4588,"SUPER-POWERED SNEAKERS INSPIRED BY SUPER-VILLAIN, THE JOKER™ AND HIS ARSENAL OF GAGS Reebok and DC have joined forces to create these sneakers. These men's Royal Techque T shoes represent the Super-Villain, The Joker™. The colours and icons evoke the character, the heel graphics show off the playing card image and The Joker's™ laughter shows up on the collar lining design.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/royal-techque-vintage-green,data/superkicks/men-classics-sneakers/photos/Reebok/ROYAL TECHQUE VINTAGE GREEN,,
Reebok,DIME WORKOUT PLUS WHITE,"₹ 9,599.00",Reebok India Pvt. Ltd.,china,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,GW9767,"FITNESS-INSPIRED GARMENT LEATHER SHOES DESIGNED WITH DIME These men's Workout Plus shoes combine iconic Reebok style with a fresh design from Montréal-based label Dime. Known for its creativity and credibility in the skateboarding world, Dime's aesthetic is both elevated and relatable. Premium garment leather gives the upper a luxe touch.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/dime-workout-plus-white,data/superkicks/men-classics-sneakers/photos/Reebok/DIME WORKOUT PLUS WHITE,,
Reebok,FLUFFIPUFF CBLACK,"₹ 6,399.00",Reebok India Pvt. Ltd.,Vietnam,Reebok India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,HQ4589,"Reebok and DC have joined forces to create these sneakers. These Fluffipuff shoes represent Batman and his high-tech Batsuit. Kevlar materials, moulded armour components, and battle scuffs encapsulate Batman's crime fighting equipment. A reflective logo resembles the bat signal in the dark night sky and removable lace gauntlets for ultimate protection.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/fluffipuff-cblack,data/superkicks/men-classics-sneakers/photos/Reebok/FLUFFIPUFF CBLACK,,
Clarks Originals,WALLABEE BOOT GINGER,"₹ 14,999.00",Clarks Rellance Footwear Pvt. Ltd.,Vietnam,Clarks Rellance Footwear Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,26168626,"Introducing your next new Wallabee Boot. Inspired by Japanese and American vintage style, subtle paisley prints are the perfect complement to retro-feel dusky green suede. Complete with a flexible construction to support every step, its natural crepe sole and signature fobs nod to our heritage profile.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/wallabee-boot-ginger,data/superkicks/men-classics-sneakers/photos/Clarks Originals/WALLABEE BOOT GINGER,,
Nike,BLAZER LOW 77 VINTAGE BLACKWHITE,"₹ 7,195.00",Nike India Pvt. Ltd.,Vietnam,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,DA6364-001,"Praised by the streets for its classic simplicity and comfort, the Nike Blazer Low '77 Vintage returns with its low-profile style and heritage b-ball looks.Featuring luscious suede details, a retro Swoosh design and a super-soft collar, it's the must-have wardrobe staple that will take you everywhere.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/blazer-low-77-vintage-1,data/superkicks/men-classics-sneakers/photos/Nike/BLAZER LOW 77 VINTAGE BLACKWHITE,,
Asics,GEL LYTE III OG IVORYCREAM,"₹ 7,999.00",BRANCH OF DONG HUNG INDUSTRIAL JOINT STOCK COMPANY,VIETNAM,ASICS INDIA PVT. LTD,1.00 KG,Shoes,1 Pair,SUPER KICKS INDIA PVT. LTD,1201A295.750,"The GEL-LYTE™ III OG sneaker returns to its roots and reimagines them for the planet. It keeps your mind and body connected on walking the path towards creating a sound earth.  Constructed with leftover leather scraps for the upper, this shoe requires fewer chemicals and dyes for the tanning process. This process gives the iconic shape a neutral color palette.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/gel-lyte-iii-og-ivory-cream,data/superkicks/men-classics-sneakers/photos/Asics/GEL LYTE III OG IVORYCREAM,,34cms x 21cms x 13cms
Reebok,OPENING CEREMONY INSTAPUMP FURY GREEN,"₹ 9,599.00",Adidas India Marketing Private Ltd.,Vietnam,Adidas India Marketing Private Ltd.,0.95 KG,SHOES,1 Pair,SUPER KICKS INDIA PVT. LTD,FW2474,"Voted ""most popular"" since 1994, the fierce Instapump Fury OG is unrivaled. Designed in collaboration with fashion-forward label Opening Ceremony, these shoes look fresh in plaid. They feature an iconic Pump on the upper for bold, '90s-inspired attitude and a personalized fit.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/opening-ceremony-instapump-fury-green,data/superkicks/men-classics-sneakers/photos/Reebok/OPENING CEREMONY INSTAPUMP FURY GREEN,,
Nike,BLAZER MID77 VINTAGE BLACKWHITE,"₹ 7,995.00",EASTWIND FOOTWEAR COMPANY LTD. (INDIA BRANCH),INDIA,Nike India Pvt. Ltd.,0.95 KG,SHOE,1 Pair,Superkicks India Pvt. Ltd.,BQ6806-100,"In the ’70s, Nike was the new shoe on the block. So new in fact, we were still breaking into the basketball scene and testing prototypes on the feet of our local team. Of course, the design improved over the years, but the name stuck. The Nike Blazer Mid ’77 Vintage—classic from the beginning.",men-classics-sneakers,https://www.superkicks.in/collections/men-classics-sneakers,https://www.superkicks.in/products/blazer-mid77-vintage,data/superkicks/men-classics-sneakers/photos/Nike/BLAZER MID77 VINTAGE BLACKWHITE,,
